#  Orange County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-4.23
201402,-1.72
201403,-2.14
201404,-2.8
201405,-3.84
201406,-2.64
201407,-2.02
201408,-0.69
201409,-0.76
201410,-1.54
201411,-1.81
201412,1.04
201501,-2.38
201502,-3.05
201503,-3.21
201504,-3.26
201505,-0.68
201506,-2.56
201507,-1.23
201508,-1.17
201509,2.24
201510,-0.7
201511,-1.86
201512,-1.86
201601,-0.85
201602,-3.34
201603,-1.85
201604,-3.32
201605,-2.45
201606,-2.83
201607,-2.1
201608,-1.19
201609,-0.89
201610,0.33
201611,-0.76
201612,2.11
201701,6.46
201702,1.15
201703,-2.79
201704,-1.73
201705,-0.04
201706,-0.51
201707,-0.72
201708,-0.09
201709,-0.59
201710,-1.62
201711,-2.49
201712,-3.27
201801,-2.39
201802,-2.88
201803,-0.88
201804,-3.57
201805,-2.66
201806,-2.59
201807,-2.33
201808,-1.31
201809,-1.03
201810,0.98
201811,-0.43
201812,0.03
201901,2.32
201902,3.86
201903,-0.33
201904,-0.88
201905,2.27
201906,1.82
201907,1.29
201908,0.08
201909,-0.73
201910,-1.42
201911,1.59
201912,2.32
202001,-2.3
202002,-2.86
202003,1.69
202004,3.72
202005,1.03
202006,0.5
202007,0
202008,-0.41
202009,-1.06
202010,-1.66
202011,-1.76
202012,-1.59
202101,-1.77
202102,-3.08
202103,-0.95
202104,-3.53
202105,-3
202106,-2.71
202107,-1.9
202108,-1.08
202109,-0.85
202110,0.25
202111,-2.63
202112,3.27
202201,-2.43
202202,-2.9
202203,-1.86
202204,-2.74
202205,-2.26
202206,-1.95
202207,-1.54
202208,-1.07
202209,0.25
202210,-0.69
202211,0.57
202212,0
202301,3.98
202302,1
202303,5.99
202304,-0.85
202305,2.32
202306,1.7
202307,2.11
202308,1.34
202309,-0.37
202310,-1.35
202311,-1.53
202312,-1.56
202401,-1.53
202402,5.73
202403,1.97
202404,-0.13
202405,1.41
202406,1.6
202407,0.75
202408,-0.35
202409,-0.77
202410,-1.36
202411,-2.02
202412,-2.96
