#  Placer County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-2.4
201402,2.34
201403,-0.4
201404,-1.12
201405,-0.99
201406,-1.51
201407,-1.59
201408,-0.03
201409,0.96
201410,-1.47
201411,-0.52
201412,1.43
201501,-4.04
201502,-0.47
201503,-3.96
201504,-0.75
201505,0.1
201506,0.52
201507,-0.41
201508,-0.5
201509,-1.26
201510,-1.14
201511,0.13
201512,1.07
201601,1.68
201602,-2.59
201603,3.09
201604,-0.5
201605,0.29
201606,-0.57
201607,-1.23
201608,-0.92
201609,-1.39
201610,7.56
201611,-2.68
201612,0.3
201701,7.45
201702,6.18
201703,-0.5
201704,3.32
201705,-1.1
201706,-0.63
201707,-1.44
201708,-0.67
201709,0.23
201710,-1.77
201711,2.89
201712,-3.24
201801,-0.75
201802,-2.69
201803,5.14
201804,0.96
201805,0.18
201806,-0.61
201807,-1.23
201808,-1.34
201809,-1.55
201810,-1.72
201811,0.52
201812,-1.46
201901,1.27
201902,6.05
201903,0.72
201904,-1.02
201905,4.43
201906,-0.12
201907,0.12
201908,-0.43
201909,2
201910,-2.22
201911,-1.56
201912,1.54
202001,-2.2
202002,-3.41
202003,0.08
202004,-0.3
202005,0.57
202006,-0.16
202007,-0.32
202008,-0.7
202009,-1.75
202010,-2.96
202011,-0.42
202012,-1.18
202101,-1.29
202102,-1.73
202103,-1.81
202104,-2.7
202105,-2.32
202106,-3.49
202107,-3.44
202108,-1.86
202109,-0.68
202110,9.05
202111,-3.87
202112,2.4
202201,-3.67
202202,-3.08
202203,-3.32
202204,1.59
202205,-1.32
202206,0.22
202207,-0.72
202208,-0.41
202209,1.28
202210,-2.71
202211,-0.23
202212,4.66
202301,3.27
202302,0.12
202303,5.02
202304,-2.02
202305,0.29
202306,0.73
202307,0.3
202308,1
202309,0.68
202310,-1.34
202311,-0.99
202312,-0.69
202401,-0.23
202402,1.28
202403,1.55
202404,-1.57
202405,-0.21
202406,-1.06
202407,-2.22
202408,-0.42
202409,-1.26
202410,-1.96
202411,1.45
202412,-0.48
