#  Plumas County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-2.87
201402,1.06
201403,1.54
201404,-1.45
201405,-1.58
201406,-1.91
201407,-2.18
201408,0.96
201409,-0.08
201410,-1.19
201411,-0.89
201412,2.93
201501,-3.82
201502,-0.61
201503,-3.72
201504,-1.52
201505,-0.16
201506,-0.53
201507,-0.03
201508,-0.68
201509,-1.14
201510,-1.11
201511,-0.19
201512,0.81
201601,2.07
201602,-2.16
201603,4.28
201604,-0.61
201605,0.38
201606,-0.27
201607,-0.55
201608,-0.9
201609,-1.44
201610,5.75
201611,-1.98
201612,0.38
201701,6.55
201702,6.06
201703,-0.02
201704,5.11
201705,-1.79
201706,-1.17
201707,-2.01
201708,-1.05
201709,0.16
201710,-1.68
201711,2.81
201712,-3.04
201801,-0.96
201802,-2.58
201803,4.37
201804,1.17
201805,0.29
201806,-0.69
201807,-0.84
201808,-1.47
201809,-1.63
201810,-1.61
201811,-0.2
201812,-0.82
201901,1.87
201902,5.37
201903,1.21
201904,-0.48
201905,3.71
201906,-0.36
201907,-0.15
201908,-0.49
201909,2.77
201910,-1.95
201911,-1.9
201912,1.17
202001,-1.98
202002,-3.19
202003,-0.59
202004,-0.75
202005,1.38
202006,-0.56
202007,0.22
202008,-0.64
202009,-1.77
202010,-2.73
202011,-0.7
202012,-0.98
202101,-1.32
202102,-1.57
202103,-1.41
202104,-2.19
202105,-2.33
202106,-2.86
202107,-3.16
202108,-2.14
202109,-0.8
202110,7.29
202111,-3.26
202112,2.41
202201,-3.35
202202,-2.96
202203,-3.34
202204,1.83
202205,-1.51
202206,0.23
202207,-0.86
202208,-1.13
202209,0.45
202210,-2.64
202211,-0.42
202212,2.79
202301,3.32
202302,-0.94
202303,6.35
202304,-1.33
202305,0.09
202306,2.17
202307,1.18
202308,0.99
202309,1.69
202310,-1.81
202311,-1.37
202312,-0.67
202401,-0.93
202402,2.47
202403,3.08
202404,-1.43
202405,0.18
202406,-1.36
202407,-1.72
202408,-0.16
202409,-1.68
202410,-1.56
202411,2.48
202412,-0.32
