#  Riverside County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-3.49
201402,-2.43
201403,-2.23
201404,-2.36
201405,-2.59
201406,-2.06
201407,-0.81
201408,1.45
201409,0.62
201410,-1.6
201411,-1.5
201412,0.57
201501,-1.26
201502,-2.76
201503,-2.33
201504,-2.34
201505,-0.74
201506,-2.01
201507,1.66
201508,-1.56
201509,0.08
201510,0.67
201511,-1.13
201512,-1.34
201601,0.93
201602,-2.71
201603,-2.54
201604,-1.03
201605,-1.62
201606,-1.85
201607,-1.35
201608,-1.45
201609,0.65
201610,-0.41
201611,-0.87
201612,2.32
201701,4.59
201702,1.78
201703,-1.77
201704,0.14
201705,1.23
201706,0.57
201707,-1.12
201708,0.21
201709,1.18
201710,-1.56
201711,-2.17
201712,-2.65
201801,-1.44
201802,-2.58
201803,-1.37
201804,-3.2
201805,-2.31
201806,-2.05
201807,-0.45
201808,-1.02
201809,-1.4
201810,2.39
201811,-0.73
201812,-0.24
201901,0.72
201902,4.98
201903,0.11
201904,0.65
201905,2
201906,2.82
201907,-0.14
201908,-1.75
201909,0.45
201910,-1.23
201911,2.22
201912,1.56
202001,-1.86
202002,-2.28
202003,3.75
202004,3.55
202005,0.57
202006,-0.57
202007,-1.4
202008,-1.76
202009,-1.48
202010,-1.73
202011,-1.25
202012,-1.67
202101,-0.81
202102,-2.6
202103,-1.29
202104,-2.95
202105,-2.67
202106,-2.11
202107,1.26
202108,-0.88
202109,-0.65
202110,-0.14
202111,-2.39
202112,0.81
202201,-2.18
202202,-2.47
202203,-2.55
202204,-2.81
202205,-2.68
202206,-2.06
202207,-1.32
202208,1.02
202209,1.32
202210,0.85
202211,0.03
202212,-1.19
202301,1.51
202302,-0.34
202303,3.54
202304,0.14
202305,1.11
202306,0.71
202307,-0.63
202308,2.95
202309,1.34
202310,-1.47
202311,-0.7
202312,-1.56
202401,-0.09
202402,1.93
202403,1.09
202404,0.34
202405,-0.35
202406,-0.62
202407,-1.46
202408,-1.73
202409,-1.16
202410,-1.78
202411,-1.46
202412,-2.68
