#  Sacramento County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-4.95
201402,-0.29
201403,-2
201404,-0.24
201405,-3.93
201406,-3.69
201407,-2.19
201408,-0.7
201409,0.5
201410,-1.5
201411,-1.3
201412,4.17
201501,-3.71
201502,-1.12
201503,-3.87
201504,-0.01
201505,-1.4
201506,-1.5
201507,-1.75
201508,-0.56
201509,-0.94
201510,-1.96
201511,-0.35
201512,-1.1
201601,1.83
201602,-2.58
201603,2.65
201604,-0.29
201605,0.26
201606,-0.87
201607,-1.44
201608,-0.58
201609,-0.94
201610,5.9
201611,-0.23
201612,0.23
201701,7.05
201702,5.28
201703,-0.35
201704,2.7
201705,0.09
201706,0.65
201707,-0.87
201708,-0.87
201709,-0.98
201710,-1.68
201711,0.28
201712,-3.46
201801,-0.07
201802,-3.07
201803,2.48
201804,1.65
201805,0.68
201806,1.1
201807,-0.32
201808,-0.62
201809,-0.93
201810,-1.72
201811,0.56
201812,-0.88
201901,0.44
201902,5.77
201903,1.37
201904,-1.37
201905,5.46
201906,2.92
201907,-0.02
201908,-0.34
201909,-0.04
201910,-1.92
201911,-2.28
201912,0.6
202001,-2.87
202002,-4.08
202003,-1.78
202004,-0.43
202005,-2.83
202006,-3.32
202007,-2.1
202008,-0.74
202009,-1.12
202010,-2.55
202011,-1.99
202012,-2.28
202101,-1.7
202102,-2.86
202103,-2.46
202104,-3.21
202105,-5.38
202106,-4.56
202107,-2.65
202108,-0.82
202109,-0.94
202110,8.19
202111,-0.83
202112,3.79
202201,-3.5
202202,-3.31
202203,-2.88
202204,-1.07
202205,-2.55
202206,-2.46
202207,-1.88
202208,-0.72
202209,0.53
202210,-2.28
202211,-0.89
202212,5.75
202301,4.97
202302,-0.06
202303,4.05
202304,-1.81
202305,-0.21
202306,-0.59
202307,-0.22
202308,-0.49
202309,-0.53
202310,-1.16
202311,-2.18
202312,-0.35
202401,-0.58
202402,1.65
202403,-0.25
202404,0.46
202405,1.21
202406,0.41
202407,-1.75
202408,-0.59
202409,-1.06
202410,-2.24
202411,1.64
202412,0.34
