#  Santa Barbara County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-4.55
201402,-1.17
201403,-1.87
201404,-2.29
201405,-4.96
201406,-3.92
201407,-3.08
201408,-1.67
201409,-1.24
201410,-1.18
201411,-1.57
201412,2.04
201501,-2.79
201502,-3.04
201503,-3.81
201504,-2.9
201505,-2.75
201506,-2.92
201507,-2.19
201508,-1.57
201509,-0.89
201510,-1.74
201511,-1.49
201512,-2.31
201601,0.69
201602,-2.86
201603,-0.84
201604,-2.04
201605,-2
201606,-2.59
201607,-2.16
201608,-1.31
201609,-1.02
201610,0.99
201611,-0.87
201612,-0.05
201701,4.54
201702,4.47
201703,-2.16
201704,-1.6
201705,-0.48
201706,-1.07
201707,-1.38
201708,-1.13
201709,0.62
201710,-1.83
201711,-2.64
201712,-3.71
201801,-1.93
201802,-3.32
201803,1.37
201804,-2.43
201805,-2.46
201806,-2.45
201807,-2.36
201808,-1.54
201809,-1.07
201810,-0.47
201811,0.07
201812,-2.23
201901,2.82
201902,2.69
201903,0.59
201904,-2.02
201905,2.69
201906,0.84
201907,0.08
201908,-0.2
201909,-0.73
201910,-1.6
201911,0.12
201912,1.73
202001,-2.75
202002,-3.35
202003,1.4
202004,2.65
202005,0.48
202006,0.64
202007,-0.09
202008,-0.31
202009,-0.89
202010,-2.05
202011,-2.22
202012,-1.73
202101,1.15
202102,-3
202103,-1.94
202104,-2.78
202105,-2.95
202106,-2.88
202107,-2.4
202108,-1.49
202109,-1.07
202110,2.26
202111,-2.7
202112,4.57
202201,-2.86
202202,-2.86
202203,-1.79
202204,-2.14
202205,-2.18
202206,-2.19
202207,-1.91
202208,-1.27
202209,0.28
202210,-1.67
202211,-0.26
202212,2.69
202301,8.67
202302,1.94
202303,4.53
202304,-1.91
202305,0.79
202306,0.68
202307,0.54
202308,0.26
202309,-0.33
202310,-1.71
202311,-1.91
202312,1.43
202401,-1.33
202402,5.87
202403,1.89
202404,1.42
202405,0.5
202406,1.26
202407,0.24
202408,-0.59
202409,-0.49
202410,-1.83
202411,-1.15
202412,-3.34
