#  San Bernardino County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-3.36
201402,-2.55
201403,-2.46
201404,-1.98
201405,-2.21
201406,-1.9
201407,0.03
201408,1.88
201409,0.31
201410,-1.62
201411,-1.59
201412,0.83
201501,-0.36
201502,-1.94
201503,-2.94
201504,-1.89
201505,-1.29
201506,-1.72
201507,3.28
201508,-1.74
201509,-0.25
201510,1.49
201511,-0.66
201512,-1.27
201601,0.42
201602,-2.23
201603,-2.7
201604,-0.44
201605,-1.67
201606,-1.92
201607,-1.31
201608,-0.97
201609,-0.58
201610,0.31
201611,-1.2
201612,2.3
201701,3.96
201702,0.92
201703,-1.47
201704,-0.13
201705,1.05
201706,0.35
201707,-0.53
201708,-0.77
201709,0.27
201710,-1.56
201711,-2.17
201712,-2.49
201801,-1.13
201802,-2.32
201803,-0.9
201804,-2.89
201805,-1.69
201806,-1.9
201807,0.14
201808,-1.57
201809,-1.58
201810,1.52
201811,-0.74
201812,-0.3
201901,1.29
201902,4.03
201903,1.37
201904,1.4
201905,2.39
201906,3.15
201907,-0.85
201908,-1.87
201909,-0.39
201910,-1.19
201911,1.9
201912,2.69
202001,-1.85
202002,-1.98
202003,2.57
202004,3.38
202005,-0.67
202006,-0.89
202007,-1.9
202008,-1.91
202009,-1.64
202010,-1.83
202011,-1.3
202012,-1.6
202101,-1
202102,-2.51
202103,-1.75
202104,-2.81
202105,-2.51
202106,-1.87
202107,0.86
202108,-1.11
202109,-0.86
202110,0.07
202111,-2.3
202112,1.16
202201,-1.97
202202,-1.86
202203,-2.77
202204,-2.51
202205,-2.42
202206,-1.77
202207,-0.12
202208,1.41
202209,-0.17
202210,-0.43
202211,0.44
202212,-0.94
202301,1.36
202302,-0.16
202303,3.29
202304,0.6
202305,0.7
202306,0.47
202307,-1.45
202308,3.24
202309,0.3
202310,-1.35
202311,-1.02
202312,-1.42
202401,-0.75
202402,3.02
202403,1.47
202404,1.17
202405,-0.12
202406,-0.5
202407,-1.73
202408,-1.83
202409,-1.16
202410,-1.89
202411,-1.27
202412,-2.58
