#  Santa Clara County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-5.01
201402,-0.65
201403,-1.68
201404,-0.88
201405,-3.32
201406,-3.2
201407,-2.49
201408,-1.37
201409,0.11
201410,-1.11
201411,-0.57
201412,6.32
201501,-4.03
201502,-1.41
201503,-3.88
201504,-1.15
201505,-0.7
201506,-1.37
201507,-1.5
201508,-0.7
201509,-1.16
201510,-2.07
201511,0.77
201512,0.62
201601,3.03
201602,-2.67
201603,3.78
201604,0.06
201605,0
201606,0
201607,-0.83
201608,-0.66
201609,-0.99
201610,5.07
201611,-0.04
201612,-0.04
201701,7.6
201702,4.9
201703,-0.69
201704,1.16
201705,-0.56
201706,0.15
201707,-0.67
201708,-0.91
201709,-0.8
201710,-1.89
201711,-0.41
201712,-3.79
201801,-0.81
201802,-3.37
201803,2.15
201804,0.98
201805,-0.48
201806,0.27
201807,-0.32
201808,-0.89
201809,-1.01
201810,-2.06
201811,1.07
201812,-1.28
201901,0.59
201902,5.06
201903,2.23
201904,-1.73
201905,4.58
201906,1.67
201907,0.32
201908,-0.18
201909,-0.65
201910,-2.11
201911,-1.62
201912,1.8
202001,-2.03
202002,-3.54
202003,0.72
202004,0.44
202005,1.09
202006,0.65
202007,-0.22
202008,-0.47
202009,-1.19
202010,-2.77
202011,-2.33
202012,-2.02
202101,-0.47
202102,-2.69
202103,-1.48
202104,-2.46
202105,-2.74
202106,-2.82
202107,-2.26
202108,-1.35
202109,-1.16
202110,6.28
202111,-1.63
202112,4.67
202201,-3.83
202202,-3.33
202203,-3
202204,-0.65
202205,-2.17
202206,-2.27
202207,-1.85
202208,-1.17
202209,1.54
202210,-2.25
202211,0
202212,6.99
202301,5.39
202302,0.94
202303,5.89
202304,-2.17
202305,1.09
202306,-0.08
202307,0.02
202308,-0.46
202309,-0.57
202310,-1.91
202311,-1.86
202312,0.44
202401,1.85
202402,2.42
202403,2.02
202404,0.48
202405,1.08
202406,0.94
202407,-0.37
202408,-1.09
202409,-1.04
202410,-2.54
202411,-0.58
202412,0.07
