#  Santa Cruz County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-4.2
201402,1.1
201403,-1.29
201404,-1.06
201405,-1.36
201406,-1.65
201407,-1.37
201408,-1.23
201409,0.81
201410,-1.57
201411,-0.12
201412,4.91
201501,-4.47
201502,-1.44
201503,-3.88
201504,-0.92
201505,-1.37
201506,-1.75
201507,-1.71
201508,-1.39
201509,-1.52
201510,-2.72
201511,0.05
201512,0.37
201601,2.52
201602,-2.9
201603,3.71
201604,-1.1
201605,-0.87
201606,-1.34
201607,-1.33
201608,-0.92
201609,-1.14
201610,5.25
201611,-1.1
201612,0.17
201701,7.31
201702,4.62
201703,-0.24
201704,1.48
201705,-0.98
201706,-0.3
201707,-0.74
201708,-0.78
201709,-1.09
201710,-2.23
201711,-0.03
201712,-3.46
201801,-0.56
201802,-2.99
201803,2.73
201804,0.59
201805,-0.9
201806,-0.34
201807,-0.55
201808,-0.84
201809,-1.04
201810,-2.41
201811,0.73
201812,-1.58
201901,0.96
201902,3.87
201903,1.96
201904,-1.89
201905,4.84
201906,1.15
201907,0.9
201908,0.04
201909,-0.77
201910,-2.45
201911,-1.37
201912,2.5
202001,-2.64
202002,-3.35
202003,-1.08
202004,0.4
202005,0.59
202006,0.09
202007,-0.47
202008,-0.53
202009,-1.3
202010,-2.85
202011,-1.79
202012,-1.58
202101,0.33
202102,-2.49
202103,-1.52
202104,-2.38
202105,-1.82
202106,-2.01
202107,-1.76
202108,-1.31
202109,-1.29
202110,6.09
202111,-2.33
202112,4.55
202201,-4.02
202202,-3.15
202203,-2.51
202204,0.03
202205,-1.59
202206,-1.45
202207,-1.35
202208,-1.03
202209,1.84
202210,-2.29
202211,-0.07
202212,6.5
202301,3.94
202302,0.35
202303,6.08
202304,-2.18
202305,1.15
202306,-0.02
202307,-0.17
202308,-0.44
202309,-0.63
202310,-2.33
202311,-1.65
202312,0.45
202401,1.37
202402,1.61
202403,1.24
202404,-0.19
202405,1.1
202406,0.66
202407,0.08
202408,-0.64
202409,-1.05
202410,-2.58
202411,-0.5
202412,-0.12
