#  San Diego County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-3.98
201402,-2.11
201403,-2.19
201404,-2.66
201405,-4.12
201406,-3.2
201407,-2.43
201408,0.15
201409,-0.53
201410,-1.81
201411,-1.67
201412,0.7
201501,-2.48
201502,-2.85
201503,-2.63
201504,-2.95
201505,-0.15
201506,-2.73
201507,-0.26
201508,-1.59
201509,1.79
201510,-0.3
201511,-0.67
201512,-0.94
201601,1.3
201602,-3.11
201603,-1.96
201604,-1.58
201605,-1.14
201606,-2.05
201607,-2.21
201608,-1.69
201609,1.29
201610,-1.26
201611,-0.66
201612,1.86
201701,3.99
201702,2.41
201703,-2.82
201704,-1.94
201705,1.08
201706,-0.24
201707,-1.18
201708,0.01
201709,-0.41
201710,-1.7
201711,-2.57
201712,-3.23
201801,-1.26
201802,-2.26
201803,-1.12
201804,-3.47
201805,-3.14
201806,-3.2
201807,-2.54
201808,-1.82
201809,-1.23
201810,-0.29
201811,0.1
201812,-0.32
201901,0.2
201902,5.5
201903,-0.9
201904,-0.91
201905,2.56
201906,2.15
201907,0.97
201908,-0.97
201909,0.03
201910,-1.46
201911,3.27
201912,2
202001,-1.95
202002,-2.26
202003,2.66
202004,4.08
202005,1.85
202006,1.76
202007,0.29
202008,-1.24
202009,-1.3
202010,-1.75
202011,-0.81
202012,-1.86
202101,-0.93
202102,-2.82
202103,-0.23
202104,-2.53
202105,-3.42
202106,-3.44
202107,-1.62
202108,0
202109,-0.71
202110,0.98
202111,-2.67
202112,1.95
202201,-2.47
202202,-1.99
202203,-1.3
202204,-2.62
202205,-2.55
202206,-2.4
202207,-2.22
202208,-1.03
202209,2.14
202210,-0.16
202211,1.03
202212,-0.71
202301,5.9
202302,0.38
202303,5.22
202304,-1.07
202305,1.15
202306,1
202307,0.89
202308,2.88
202309,-0.24
202310,-1.21
202311,-0.88
202312,-2.07
202401,0.43
202402,2.84
202403,1.18
202404,-0.14
202405,1.15
202406,1.2
202407,-0.7
202408,-1.22
202409,-1.16
202410,-1.77
202411,-1.74
202412,-3.17
