#  San Francisco County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-5.17
201402,1.09
201403,-0.87
201404,-0.28
201405,-1.55
201406,-1.65
201407,-1.29
201408,-1.21
201409,0.51
201410,-1.59
201411,-0.91
201412,7.86
201501,-4.71
201502,-2.25
201503,-4.06
201504,-0.86
201505,-2.18
201506,-1.77
201507,-1.63
201508,-1.52
201509,-1.26
201510,-2.65
201511,-1.48
201512,0.73
201601,1.88
201602,-2.98
201603,3.46
201604,-0.5
201605,-0.51
201606,-0.85
201607,-0.65
201608,-0.62
201609,-0.97
201610,3.83
201611,-0.64
201612,1.03
201701,5.05
201702,4.74
201703,0.4
201704,1.55
201705,-0.4
201706,0.59
201707,0.11
201708,-0.27
201709,-0.21
201710,-1.96
201711,0.43
201712,-4.12
201801,-0.04
201802,-3.49
201803,1.59
201804,3.24
201805,-0.29
201806,0.28
201807,0.16
201808,-0.23
201809,-0.64
201810,-1.79
201811,0.84
201812,-2.05
201901,0.07
201902,5.25
201903,1.79
201904,-1.75
201905,3.88
201906,0.88
201907,0.2
201908,-0.31
201909,-0.65
201910,-2.38
201911,-1.82
201912,0.19
202001,-2.53
202002,-4.1
202003,-1.63
202004,-1.34
202005,-2.12
202006,-2.87
202007,-1.95
202008,-1.49
202009,-1.6
202010,-2.87
202011,-2.58
202012,-2.21
202101,-2.1
202102,-2.55
202103,-1.95
202104,-2.5
202105,-3.68
202106,-3.47
202107,-2.4
202108,-1.69
202109,-1.25
202110,8.61
202111,-0.75
202112,4.75
202201,-3.97
202202,-3.64
202203,-3.18
202204,-0.59
202205,-2.38
202206,-1.49
202207,-1.38
202208,-1.22
202209,-0.09
202210,-2.18
202211,-1.22
202212,7.73
202301,4.73
202302,0.32
202303,4.94
202304,-1.68
202305,1.3
202306,0.01
202307,0.24
202308,-0.03
202309,-0.44
202310,-1.95
202311,-1.53
202312,0.19
202401,1.4
202402,1.77
202403,0.7
202404,-0.45
202405,1.75
202406,0.32
202407,0.1
202408,-0.19
202409,-0.98
202410,-2.41
202411,1.79
202412,1.42
