#  Shasta County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-3.54
201402,3.09
201403,1.99
201404,-1.52
201405,-1.94
201406,-2.39
201407,-2.61
201408,-0.87
201409,1.28
201410,0.46
201411,-0.57
201412,3.23
201501,-3.92
201502,-0.06
201503,-3.08
201504,-1.43
201505,-0.76
201506,-1.46
201507,-1.7
201508,-1.24
201509,-0.43
201510,-1.96
201511,-0.92
201512,2.22
201601,3.21
201602,-2.15
201603,3.63
201604,-1.27
201605,0.14
201606,1.05
201607,-0.07
201608,-0.89
201609,-1.56
201610,6.03
201611,-1.45
201612,0.18
201701,3.87
201702,3.98
201703,0.21
201704,2.8
201705,-1.85
201706,-1.25
201707,-2.03
201708,-1.48
201709,-0.93
201710,-1.74
201711,1.7
201712,-3.55
201801,-1.17
201802,-3.08
201803,1.67
201804,1.63
201805,-0.64
201806,-1.38
201807,-1.98
201808,-1.54
201809,-1.52
201810,-1.44
201811,0.46
201812,-0.62
201901,0.68
201902,4.34
201903,3.02
201904,0.41
201905,3.77
201906,-0.6
201907,-0.49
201908,0.71
201909,0.73
201910,-1.96
201911,-1.71
201912,1.43
202001,-1.13
202002,-3.43
202003,0.28
202004,-1.59
202005,2.22
202006,-0.35
202007,0.04
202008,-0.57
202009,-1.8
202010,-2.81
202011,-1.05
202012,-1.16
202101,-0.94
202102,-1.52
202103,-1.31
202104,-2.2
202105,-2.74
202106,-3.68
202107,-3.73
202108,-1.87
202109,-0.25
202110,4.69
202111,-2.46
202112,-0.09
202201,-3.32
202202,-3.36
202203,-2.95
202204,0.71
202205,-1.54
202206,-0.29
202207,-1.06
202208,-1.43
202209,0.11
202210,-2.73
202211,-0.56
202212,2.04
202301,2.44
202302,-1.46
202303,5.56
202304,-1.24
202305,0.46
202306,0.24
202307,-0.42
202308,0.39
202309,1.04
202310,-2.11
202311,-1.03
202312,0.25
202401,0.6
202402,1.8
202403,1.9
202404,-0.85
202405,-0.63
202406,-1.7
202407,-3.07
202408,-0.04
202409,-1.12
202410,-1.8
202411,3.22
202412,1.14
