#  Sierra County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-2.57
201402,1.2
201403,0.15
201404,-1.4
201405,-1.16
201406,-1.65
201407,-1.31
201408,1.45
201409,0.28
201410,-0.92
201411,-0.79
201412,1.57
201501,-3.98
201502,-0.51
201503,-3.86
201504,-1.19
201505,-0.04
201506,-0.21
201507,0.77
201508,-0.18
201509,-1.19
201510,-1.21
201511,-0.02
201512,1.02
201601,1.78
201602,-2.38
201603,4.13
201604,-0.56
201605,0.34
201606,-0.82
201607,-0.82
201608,-0.96
201609,-1.54
201610,7.45
201611,-2.03
201612,0.79
201701,7.65
201702,6.68
201703,-0.38
201704,4.87
201705,-1.45
201706,-0.87
201707,-1.83
201708,-1.05
201709,0.47
201710,-1.73
201711,2.99
201712,-2.95
201801,-1.18
201802,-2.38
201803,4.77
201804,0.7
201805,0.59
201806,-0.68
201807,-0.14
201808,-1.26
201809,-1.64
201810,-1.86
201811,0.15
201812,-1.54
201901,1.56
201902,5.55
201903,0.59
201904,-0.49
201905,3.52
201906,-0.3
201907,-0.09
201908,-0.68
201909,2.48
201910,-2.08
201911,-1.33
201912,0.68
202001,-2.2
202002,-3.24
202003,-0.04
202004,-0.59
202005,0.86
202006,-0.59
202007,-0.03
202008,-0.75
202009,-1.81
202010,-2.76
202011,-0.45
202012,-1.08
202101,-1.36
202102,-1.88
202103,-1.86
202104,-2.5
202105,-2.27
202106,-2.82
202107,-3.28
202108,-2.13
202109,-0.56
202110,7.94
202111,-3.01
202112,2.8
202201,-3.54
202202,-2.92
202203,-3.51
202204,1.68
202205,-1.57
202206,0.78
202207,-0.73
202208,-0.82
202209,0.82
202210,-2.55
202211,-0.26
202212,3.58
202301,2.98
202302,-0.06
202303,4.59
202304,-1.49
202305,0.17
202306,1.62
202307,1.03
202308,1.53
202309,1.22
202310,-1.64
202311,-1.18
202312,-0.75
202401,-0.94
202402,1.28
202403,2.04
202404,-1.6
202405,-0.25
202406,-1.42
202407,-1.74
202408,0.01
202409,-1.52
202410,-1.82
202411,2.08
202412,-0.39
