#  Siskiyou County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-3.65
201402,1.31
201403,1.5
201404,-1.78
201405,-1.66
201406,-1.91
201407,-2.39
201408,-1.43
201409,2.03
201410,1.21
201411,-1.31
201412,0.7
201501,-3.76
201502,1.3
201503,-2.54
201504,-1.68
201505,-0.26
201506,-1.38
201507,-0.92
201508,-1.22
201509,-1.01
201510,-2.33
201511,-1.49
201512,3.09
201601,2.96
201602,-1.98
201603,3.36
201604,-1.15
201605,-0.75
201606,-0.17
201607,-0.93
201608,-1.35
201609,-1.63
201610,6.9
201611,-1.78
201612,-0.32
201701,2.86
201702,4.7
201703,0.16
201704,2.36
201705,-1.73
201706,-1
201707,-2.12
201708,-1.17
201709,-1.15
201710,-1.7
201711,0.66
201712,-3.02
201801,-1.76
201802,-2.89
201803,0.72
201804,0.95
201805,-0.46
201806,-1.17
201807,-1.51
201808,-1.78
201809,-1.49
201810,-1.9
201811,-1.07
201812,-0.92
201901,-0.34
201902,4.74
201903,-0.47
201904,0.54
201905,1.35
201906,-1.26
201907,-1
201908,0.27
201909,1.79
201910,-1.55
201911,-2.29
201912,-0.19
202001,-0.18
202002,-3.68
202003,-2.23
202004,-2.15
202005,1.16
202006,-0.4
202007,-0.09
202008,0.04
202009,-1.89
202010,-2.87
202011,-0.64
202012,-1.15
202101,-0.77
202102,-1.03
202103,-1.75
202104,-2.55
202105,-2.67
202106,-2.93
202107,-3.84
202108,-2.34
202109,0.54
202110,2.43
202111,-2.17
202112,-0.27
202201,-3.56
202202,-3.69
202203,-2.93
202204,1.54
202205,-0.84
202206,0.04
202207,-0.26
202208,-1.16
202209,-0.72
202210,-2.89
202211,-0.76
202212,1.37
202301,0.65
202302,-1.53
202303,3.58
202304,-1.04
202305,-0.27
202306,-0.44
202307,-1.38
202308,-0.31
202309,0.51
202310,-1.84
202311,-1.61
202312,-0.2
202401,1.69
202402,0.8
202403,1.23
202404,-0.97
202405,-0.81
202406,-1.7
202407,-2.91
202408,-0.5
202409,-1.54
202410,-1.85
202411,2.93
202412,0.93
