#  San Joaquin County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-5.08
201402,-0.88
201403,-1.78
201404,-1.27
201405,-5.03
201406,-3.79
201407,-2.29
201408,-0.73
201409,0.72
201410,-1.23
201411,-1.08
201412,4.51
201501,-3.1
201502,-1.65
201503,-4.13
201504,-1.28
201505,-2.34
201506,-2.22
201507,-1.67
201508,-0.41
201509,-0.98
201510,-1.88
201511,0.58
201512,-0.26
201601,2.45
201602,-2.33
201603,1.9
201604,1.73
201605,1.45
201606,1
201607,-0.56
201608,-0.37
201609,-0.89
201610,5.23
201611,-0.57
201612,-0.37
201701,5.98
201702,4.81
201703,-0.41
201704,1.99
201705,1.2
201706,1.13
201707,-0.6
201708,-0.57
201709,-0.97
201710,-1.6
201711,-0.49
201712,-3.83
201801,-1.12
201802,-3.28
201803,0.36
201804,1.02
201805,-2.26
201806,-2.53
201807,-1.85
201808,-0.69
201809,-0.92
201810,-0.59
201811,1.04
201812,-0.44
201901,-0.61
201902,3.84
201903,1.32
201904,-0.97
201905,3.97
201906,2.65
201907,-0.09
201908,-0.36
201909,-0.03
201910,-1.81
201911,-1.83
201912,0.45
202001,-2.78
202002,-4.31
202003,-1.21
202004,-1.35
202005,-3.64
202006,-3.57
202007,-2.1
202008,-0.79
202009,-1.11
202010,-2.42
202011,-2.29
202012,-1.76
202101,-0.73
202102,-2.71
202103,-2.21
202104,-3.33
202105,-4.52
202106,-3.75
202107,-2.43
202108,-0.81
202109,-0.97
202110,8.03
202111,-1.34
202112,3.19
202201,-3.27
202202,-3.55
202203,-3.38
202204,-1.73
202205,-3.53
202206,-3.06
202207,-1.97
202208,-0.76
202209,0.17
202210,-2.18
202211,-0.39
202212,7.23
202301,7.34
202302,0.75
202303,5.12
202304,-1.4
202305,0.45
202306,0.18
202307,0.35
202308,-0.41
202309,-0.71
202310,-1.49
202311,-1.85
202312,-0.51
202401,0.31
202402,1.26
202403,0.19
202404,1.7
202405,1.96
202406,1.68
202407,-1.14
202408,-0.47
202409,-1.05
202410,-2.36
202411,0.38
202412,-0.17
