#  San Luis Obispo County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-4.58
201402,-1.43
201403,-2.07
201404,-1.97
201405,-5.23
201406,-4.11
201407,-2.97
201408,-1.35
201409,-1.07
201410,-1.44
201411,-1.43
201412,1.66
201501,-3.41
201502,-2.13
201503,-3.91
201504,-2.11
201505,-2.74
201506,-3.08
201507,-1.9
201508,-1.16
201509,-0.9
201510,-1.85
201511,-0.37
201512,-1.73
201601,1.47
201602,-2.85
201603,0.17
201604,-1.81
201605,-1.16
201606,-1.51
201607,-1.68
201608,-0.91
201609,-0.9
201610,2.38
201611,-0.41
201612,-0.67
201701,6.72
201702,3.37
201703,-1.42
201704,-0.08
201705,0.77
201706,0.08
201707,-1.04
201708,-0.96
201709,-0.02
201710,-1.74
201711,-2.4
201712,-3.96
201801,-1.99
201802,-3.38
201803,3.5
201804,-1.88
201805,-1.57
201806,-1.47
201807,-1.55
201808,-1.12
201809,-0.98
201810,-0.9
201811,1.38
201812,-2.1
201901,1.77
201902,3.06
201903,1.21
201904,-1.98
201905,2.42
201906,1.01
201907,0
201908,-0.25
201909,-0.82
201910,-1.66
201911,0
201912,1.3
202001,-2.86
202002,-3.45
202003,1.22
202004,1.38
202005,0
202006,-0.18
202007,-0.55
202008,-0.26
202009,-1.01
202010,-2.22
202011,-1.92
202012,-2.43
202101,2.24
202102,-2.94
202103,-1.71
202104,-2.63
202105,-2.81
202106,-2.72
202107,-2.32
202108,-1.23
202109,-1.05
202110,2.93
202111,-2.64
202112,4.27
202201,-3.15
202202,-2.92
202203,-2.1
202204,-1.94
202205,-2.37
202206,-2.38
202207,-1.99
202208,-1.11
202209,1.44
202210,-1.83
202211,-0.5
202212,3.76
202301,8.09
202302,1.14
202303,6.03
202304,-1.97
202305,0.56
202306,0.36
202307,0.54
202308,-0.15
202309,-0.51
202310,-1.82
202311,-1.06
202312,0.83
202401,-0.49
202402,2.42
202403,1.38
202404,1.7
202405,0.85
202406,1.55
202407,-0.12
202408,-0.9
202409,-0.72
202410,-2.13
202411,0.48
202412,-2.97
