#  San Mateo County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-4.73
201402,0.36
201403,-1.79
201404,-0.74
201405,-2.33
201406,-2.34
201407,-1.95
201408,-1.49
201409,0.15
201410,-1.62
201411,-1.03
201412,6.42
201501,-4.62
201502,-1.59
201503,-4.07
201504,-1.07
201505,-1.57
201506,-1.61
201507,-1.63
201508,-1.5
201509,-1.38
201510,-2.67
201511,-0.83
201512,0.73
201601,1.39
201602,-2.98
201603,3.68
201604,-0.27
201605,-0.75
201606,-0.74
201607,-0.83
201608,-0.74
201609,-1.07
201610,4.87
201611,-0.89
201612,0.09
201701,5.93
201702,4.34
201703,-0.51
201704,1.2
201705,-0.97
201706,-0.22
201707,-0.57
201708,-0.7
201709,-0.83
201710,-1.98
201711,0.19
201712,-4.02
201801,-0.1
201802,-3.27
201803,1.45
201804,1.09
201805,-0.71
201806,-0.15
201807,-0.33
201808,-0.66
201809,-0.92
201810,-2.28
201811,0.36
201812,-2.17
201901,0.18
201902,4.31
201903,1.54
201904,-1.69
201905,4.32
201906,1.09
201907,0.2
201908,-0.33
201909,-0.78
201910,-2.47
201911,-1.68
201912,0.35
202001,-2.67
202002,-3.79
202003,-1.54
202004,-0.54
202005,-0.98
202006,-1.92
202007,-1.65
202008,-1.14
202009,-1.52
202010,-2.92
202011,-2.35
202012,-2.16
202101,-1.71
202102,-2.34
202103,-2.03
202104,-2.57
202105,-3.1
202106,-3.2
202107,-2.46
202108,-1.73
202109,-1.27
202110,6.57
202111,-2.32
202112,4.63
202201,-4.07
202202,-3.5
202203,-3.05
202204,-0.21
202205,-1.96
202206,-1.8
202207,-1.44
202208,-1.11
202209,0.02
202210,-2.3
202211,-0.72
202212,6.67
202301,4.22
202302,0.33
202303,5.28
202304,-2.02
202305,1.62
202306,-0.02
202307,-0.04
202308,-0.05
202309,-0.52
202310,-2.34
202311,-1.71
202312,-0.64
202401,1.22
202402,1.31
202403,0.84
202404,-0.83
202405,1.68
202406,0.18
202407,-0.35
202408,-0.78
202409,-1.06
202410,-2.69
202411,0.42
202412,0.34
