#  Sonoma County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-3.8
201402,3.41
201403,-0.38
201404,-1.14
201405,-1.63
201406,-1.81
201407,-1.58
201408,-0.95
201409,0.93
201410,-1.79
201411,-0.53
201412,4.73
201501,-4.51
201502,-0.76
201503,-4.04
201504,-1.34
201505,-1.76
201506,-1.9
201507,-1.64
201508,-1.15
201509,0.15
201510,-2.85
201511,-1.51
201512,1.97
201601,1.77
201602,-2.84
201603,4.32
201604,-1.43
201605,-1.03
201606,-1.31
201607,-1.36
201608,-0.94
201609,-1.2
201610,6.18
201611,-1.71
201612,-0.68
201701,5.23
201702,4.11
201703,-1.02
201704,2.18
201705,-1.35
201706,-0.32
201707,-0.87
201708,-0.97
201709,-1.07
201710,-2.34
201711,0.88
201712,-3.74
201801,-0.34
201802,-2.99
201803,1.59
201804,3.21
201805,-0.93
201806,-0.79
201807,-0.94
201808,-0.93
201809,-0.85
201810,-1.1
201811,0.53
201812,-1.38
201901,0.2
201902,6.02
201903,2.2
201904,-0.7
201905,5.98
201906,0.97
201907,1.17
201908,0.13
201909,-0.55
201910,-2.58
201911,-1.91
201912,2.44
202001,-2.55
202002,-3.39
202003,-2.6
202004,-1.85
202005,0.83
202006,-1.22
202007,-1.27
202008,-0.56
202009,-1.43
202010,-3.17
202011,-1.61
202012,-0.98
202101,-1.41
202102,-2.16
202103,-1.57
202104,-2.43
202105,-2.21
202106,-2.58
202107,-2.11
202108,-1.38
202109,-0.61
202110,8.41
202111,-3.05
202112,0.36
202201,-4
202202,-3.2
202203,-3.02
202204,0
202205,-1.21
202206,0.42
202207,-0.45
202208,-0.23
202209,2.49
202210,-2.61
202211,-1.11
202212,2.82
202301,3.79
202302,-0.88
202303,6.42
202304,-1.8
202305,0.73
202306,-0.36
202307,-0.04
202308,-0.48
202309,-0.22
202310,-1.67
202311,-1.01
202312,1.44
202401,0.55
202402,2.63
202403,0.51
202404,-1.45
202405,0.01
202406,-1
202407,-1.42
202408,-0.9
202409,-1.3
202410,-2.49
202411,4.72
202412,0.53
