#  Stanislaus County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-4.97
201402,-1.05
201403,-1.88
201404,-1.65
201405,-4.92
201406,-3.93
201407,-2.42
201408,-0.71
201409,0.01
201410,-0.8
201411,-0.45
201412,4.96
201501,-2.81
201502,-1.09
201503,-3.77
201504,-1.46
201505,-1.77
201506,-1.94
201507,-1.6
201508,-0.49
201509,-0.88
201510,-1.28
201511,1.57
201512,0.55
201601,3.64
201602,-2.15
201603,2.48
201604,1.33
201605,1.6
201606,1.1
201607,-0.72
201608,-0.44
201609,-0.85
201610,4.76
201611,-1.05
201612,-0.47
201701,5.95
201702,3.95
201703,-0.69
201704,0.94
201705,1.19
201706,0.56
201707,-0.8
201708,-0.76
201709,-0.79
201710,-1.55
201711,-1.07
201712,-3.98
201801,-1.34
201802,-3.38
201803,0.67
201804,0.5
201805,-2.33
201806,-2.4
201807,-1.86
201808,-0.72
201809,-0.87
201810,-1.54
201811,1.58
201812,-0.55
201901,-0.03
201902,3.59
201903,1.42
201904,-1.43
201905,3.49
201906,2.38
201907,0.02
201908,-0.26
201909,-0.45
201910,-1.71
201911,-1.84
201912,1.79
202001,-2.44
202002,-3.86
202003,-0.11
202004,-0.34
202005,-2.5
202006,-2.55
202007,-1.7
202008,-0.59
202009,-0.98
202010,-2.24
202011,-2.02
202012,-1.76
202101,0.68
202102,-2.46
202103,-1.72
202104,-2.78
202105,-3.6
202106,-3.14
202107,-2.23
202108,-0.76
202109,-0.87
202110,5.42
202111,-2.17
202112,4.05
202201,-3.16
202202,-3.32
202203,-2.82
202204,-1.74
202205,-2.99
202206,-2.75
202207,-1.82
202208,-0.55
202209,0.09
202210,-2.06
202211,-0.15
202212,6.53
202301,7.61
202302,1.32
202303,4.9
202304,-1.55
202305,0.92
202306,0.53
202307,0.7
202308,-0.07
202309,-0.54
202310,-1.4
202311,-1.76
202312,-0.33
202401,1.84
202402,3.47
202403,0.97
202404,1.11
202405,2.08
202406,1.97
202407,-1.01
202408,-0.71
202409,-0.93
202410,-2.3
202411,-0.26
202412,-0.59
