#  Sutter County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-5.02
201402,-0.32
201403,-1.63
201404,-1.29
201405,-4.13
201406,-3.9
201407,-2.18
201408,-0.31
201409,0.48
201410,-1.56
201411,-0.92
201412,5.36
201501,-3.71
201502,-1.11
201503,-3.93
201504,-0.47
201505,-2.02
201506,-2.29
201507,-1.91
201508,-0.44
201509,-0.91
201510,-2.46
201511,0.05
201512,-1.41
201601,1.34
201602,-2.67
201603,4.93
201604,-1.37
201605,-0.63
201606,-1.72
201607,-1.51
201608,-0.45
201609,-1.02
201610,2.98
201611,-1.17
201612,-0.41
201701,5.47
201702,4.44
201703,-0.26
201704,1.95
201705,0.22
201706,0.9
201707,-0.75
201708,-0.6
201709,-1.06
201710,-1.58
201711,0.03
201712,-3.73
201801,-0.27
201802,-3.22
201803,2.49
201804,1.5
201805,0.19
201806,0.26
201807,-0.75
201808,-0.49
201809,-0.97
201810,-1.78
201811,-0.04
201812,-1.03
201901,1.1
201902,6.44
201903,1.85
201904,-1.42
201905,4.7
201906,2.32
201907,-0.65
201908,-0.35
201909,0.2
201910,-1.9
201911,-2.57
201912,1.81
202001,-2.53
202002,-3.64
202003,-2.11
202004,-1.68
202005,-1.98
202006,-2.78
202007,-1.69
202008,-0.26
202009,-1.14
202010,-2.63
202011,-2.08
202012,-2.67
202101,-2.57
202102,-3.11
202103,-2.08
202104,-3.42
202105,-6.16
202106,-5
202107,-2.48
202108,-0.55
202109,-0.91
202110,7.16
202111,-1.3
202112,2.6
202201,-3.69
202202,-3.32
202203,-2.98
202204,-1.57
202205,-2.89
202206,-2.39
202207,-1.63
202208,-0.51
202209,3.22
202210,-2.4
202211,-0.99
202212,2.86
202301,5.78
202302,-0.56
202303,4.35
202304,-1.49
202305,1.06
202306,-0.14
202307,-0.11
202308,-0.04
202309,0.05
202310,-0.91
202311,-2.56
202312,-0.72
202401,0.31
202402,3.05
202403,-0.87
202404,-0.44
202405,0.87
202406,-0.81
202407,-2.05
202408,0.11
202409,-1.14
202410,-2.12
202411,3.87
202412,1.39
