#  Tehama County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-4.12
201402,1.97
201403,1.83
201404,-1.51
201405,-1.51
201406,-2.58
201407,-2.35
201408,0
201409,1.92
201410,-0.49
201411,-0.16
201412,4.93
201501,-4.1
201502,-0.98
201503,-3.34
201504,-1.3
201505,-1.39
201506,-2.31
201507,-2.19
201508,-0.92
201509,-0.58
201510,-2.08
201511,-0.92
201512,1.12
201601,3.34
201602,-2.5
201603,3.35
201604,-0.92
201605,0.02
201606,0.77
201607,-0.29
201608,-0.69
201609,-1.34
201610,4.96
201611,-0.74
201612,-0.09
201701,3.18
201702,3.22
201703,-0.72
201704,2.14
201705,-1.34
201706,-1.18
201707,-1.81
201708,-1.27
201709,-0.78
201710,-1.65
201711,1.03
201712,-3.72
201801,-0.99
201802,-3.01
201803,1.37
201804,2.24
201805,-0.67
201806,-1.07
201807,-1.74
201808,-1.21
201809,-1.37
201810,-1.54
201811,0.65
201812,-0.82
201901,1.5
201902,5.19
201903,2.6
201904,-1.02
201905,3.97
201906,0.33
201907,0.07
201908,0.17
201909,0.68
201910,-2.03
201911,-2
201912,1.32
202001,-1.9
202002,-3.35
202003,-0.66
202004,-1.71
202005,1.78
202006,-0.02
202007,-0.79
202008,-0.71
202009,-1.6
202010,-2.86
202011,-1.7
202012,-1.22
202101,-1.39
202102,-1.65
202103,-1
202104,-2.22
202105,-2.54
202106,-3.64
202107,-3.26
202108,-1.34
202109,-0.47
202110,5.53
202111,-2.56
202112,0.29
202201,-3.71
202202,-3.25
202203,-3.01
202204,-0.59
202205,-1.7
202206,-0.68
202207,-1.26
202208,-1.12
202209,1.21
202210,-2.69
202211,-0.39
202212,1.83
202301,3.17
202302,-0.72
202303,5.9
202304,-1.33
202305,0.3
202306,-0.32
202307,-0.58
202308,0.14
202309,0.52
202310,-1.8
202311,-1.6
202312,0.78
202401,0.27
202402,2.41
202403,0.63
202404,-0.65
202405,-0.06
202406,-1.06
202407,-2.69
202408,-0.31
202409,-0.84
202410,-2.14
202411,3.46
202412,0.67
