#  Trinity County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-2.34
201402,0.83
201403,1.47
201404,-1.95
201405,-2.04
201406,-2.18
201407,-2.52
201408,-1.67
201409,2.37
201410,1.38
201411,-1.22
201412,0.73
201501,-3.54
201502,0.92
201503,-2.95
201504,-1.57
201505,-1.25
201506,-1.24
201507,-1.3
201508,-1.21
201509,-0.61
201510,-2.41
201511,-0.9
201512,2.42
201601,3.21
201602,-2.2
201603,3.45
201604,-1.1
201605,-0.86
201606,-0.25
201607,-1.17
201608,-1.42
201609,-1.84
201610,7.25
201611,-1.66
201612,-0.37
201701,2.78
201702,3.74
201703,-0.04
201704,3.59
201705,-1.99
201706,-0.7
201707,-1.86
201708,-1.38
201709,-0.59
201710,-1.8
201711,1.01
201712,-2.54
201801,-1.32
201802,-2.76
201803,0.47
201804,1.57
201805,-0.45
201806,-1.1
201807,-1.64
201808,-1.74
201809,-1.48
201810,-2.18
201811,0.3
201812,-1.24
201901,0.08
201902,4.51
201903,0.61
201904,0.63
201905,2.16
201906,-0.88
201907,-0.65
201908,0.23
201909,0.35
201910,-2.15
201911,-1.17
201912,0.87
202001,-1.24
202002,-3.28
202003,-1.54
202004,-1.18
202005,2.21
202006,-0.32
202007,0.39
202008,-0.86
202009,-1.8
202010,-2.95
202011,-0.85
202012,-0.69
202101,-0.6
202102,-1.01
202103,-1.69
202104,-2.56
202105,-2.84
202106,-3.17
202107,-3.87
202108,-2.23
202109,-0.46
202110,3.22
202111,-2.37
202112,-0.32
202201,-3.35
202202,-3.25
202203,-3
202204,0.85
202205,-1.21
202206,0
202207,-0.83
202208,-1.53
202209,1.38
202210,-2.91
202211,-0.09
202212,1.07
202301,2.6
202302,-1.18
202303,4.15
202304,-1.27
202305,-0.27
202306,-0.3
202307,-1.12
202308,-0.03
202309,1.78
202310,-1.96
202311,-0.73
202312,0.6
202401,1.79
202402,2.03
202403,1.29
202404,-1.33
202405,-0.61
202406,-1.26
202407,-2.56
202408,0.31
202409,-1.5
202410,-2.19
202411,3.05
202412,0.74
