#  Tulare County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-4.28
201402,-2.61
201403,-2.43
201404,-1.46
201405,-3.41
201406,-5.2
201407,-3.25
201408,-0.64
201409,-0.62
201410,-2.04
201411,-1.05
201412,0.6
201501,-3.51
201502,-2.15
201503,-3.83
201504,-2.06
201505,0.52
201506,-2.39
201507,0.22
201508,-1.15
201509,-1
201510,2.58
201511,0.44
201512,-0.25
201601,0.84
201602,-1.83
201603,-0.53
201604,-0.78
201605,0.12
201606,0.19
201607,-1.27
201608,-1.13
201609,-1.19
201610,0.72
201611,-1.55
201612,0.71
201701,8.02
201702,2.55
201703,-1.97
201704,0.15
201705,-0.09
201706,0.26
201707,-1.02
201708,-0.36
201709,0.36
201710,-1.74
201711,-1.37
201712,-3.57
201801,-2.98
201802,-3.31
201803,2.56
201804,-0.9
201805,-0.52
201806,-0.59
201807,-0.7
201808,-1.38
201809,-1.32
201810,-0.42
201811,-0.29
201812,-2.35
201901,-0.11
201902,3.28
201903,2.42
201904,-1.92
201905,5.24
201906,2.01
201907,1.59
201908,-0.17
201909,-0.96
201910,-1.57
201911,-0.12
201912,0.19
202001,-2.95
202002,-3.22
202003,0.06
202004,1.74
202005,0.19
202006,0.04
202007,-0.66
202008,-1.14
202009,-1.4
202010,-2.26
202011,-1.84
202012,-2.3
202101,-1.53
202102,-3.11
202103,-2.06
202104,-2.82
202105,-3.81
202106,-4.72
202107,-3.41
202108,-1.93
202109,-1.31
202110,3.85
202111,-2.04
202112,4.83
202201,-3.42
202202,-2.7
202203,-2.08
202204,-1.77
202205,-1.6
202206,-1.5
202207,-1.78
202208,-0.36
202209,-1.03
202210,-2.07
202211,-0.45
202212,2.72
202301,6.96
202302,2.2
202303,9.07
202304,-2.61
202305,-1.13
202306,-1.07
202307,-1.01
202308,0.81
202309,-0.91
202310,-1.56
202311,-1.78
202312,-2.32
202401,-1.64
202402,2.34
202403,0.33
202404,-0.57
202405,-0.17
202406,-0.14
202407,-1.69
202408,-1.51
202409,-1.42
202410,-2.19
202411,0.8
202412,-2.31
