#  Tuolumne County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-2.72
201402,0.63
201403,-1.01
201404,-0.71
201405,-0.97
201406,-1.24
201407,-0.39
201408,-0.16
201409,0.2
201410,-2.32
201411,-0.69
201412,-0.08
201501,-4.05
201502,-0.97
201503,-3.76
201504,-0.49
201505,1.41
201506,0.49
201507,1.62
201508,0.51
201509,-1.07
201510,-0.12
201511,0.58
201512,0.69
201601,1.4
201602,-2.46
201603,1.54
201604,-0.21
201605,-0.29
201606,-0.61
201607,-1.46
201608,-1.22
201609,-1.21
201610,6.33
201611,-2.52
201612,0.02
201701,8.49
201702,4.8
201703,-0.61
201704,3.17
201705,-1.16
201706,-0.79
201707,-1.65
201708,-0.11
201709,0.81
201710,-1.82
201711,1.31
201712,-3.34
201801,-1.57
201802,-2.55
201803,5.78
201804,0.43
201805,-1.02
201806,-1.36
201807,-1.59
201808,-1.36
201809,-1.47
201810,-1.55
201811,1.53
201812,-2.27
201901,0.45
201902,4.4
201903,1.4
201904,-1.77
201905,5.31
201906,-0.12
201907,0.46
201908,-0.26
201909,-0.27
201910,-2.23
201911,-1.44
201912,1.4
202001,-2.89
202002,-3.13
202003,0.02
202004,0.31
202005,0.58
202006,-0.23
202007,-0.21
202008,-0.52
202009,-1.4
202010,-2.88
202011,-1.21
202012,-0.93
202101,0.2
202102,-2.04
202103,-1.6
202104,-2.38
202105,-2
202106,-1.73
202107,-1.81
202108,-1.28
202109,-1.62
202110,6.05
202111,-3.6
202112,2.31
202201,-3.91
202202,-2.79
202203,-3.01
202204,0.03
202205,-1.71
202206,-1.15
202207,-1.67
202208,0.3
202209,1.52
202210,-2.5
202211,-0.15
202212,4.46
202301,5.64
202302,0.38
202303,7.68
202304,-2.45
202305,-0.53
202306,0.75
202307,-0.19
202308,1.14
202309,0.5
202310,-1.91
202311,-1.14
202312,-1.5
202401,-0.55
202402,1.38
202403,1.76
202404,-0.88
202405,-0.34
202406,-0.92
202407,-1.19
202408,-1
202409,-1.2
202410,-2.24
202411,0.36
202412,-0.84
