#  Ventura County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-4.13
201402,-0.43
201403,-1.63
201404,-2.36
201405,-3.96
201406,-3.6
201407,-2.94
201408,-1.15
201409,-1.27
201410,-1.07
201411,-1.79
201412,2.3
201501,-1.86
201502,-2.52
201503,-2.96
201504,-2.54
201505,-1.23
201506,-2.06
201507,-1.27
201508,-1.27
201509,0.53
201510,-1.28
201511,-2.01
201512,-2.32
201601,0.02
201602,-2.51
201603,-1.08
201604,-2.07
201605,-1.94
201606,-2.72
201607,-2.38
201608,-1.45
201609,-1.1
201610,0.18
201611,-1.26
201612,0.89
201701,4.81
201702,3.44
201703,-2.49
201704,-2.19
201705,-1.44
201706,-1.92
201707,-2.09
201708,-1.15
201709,-0.7
201710,-1.7
201711,-2.48
201712,-3.31
201801,-1.9
201802,-2.91
201803,1.7
201804,-2.35
201805,-1.71
201806,-1.86
201807,-1.98
201808,-1.54
201809,-1.12
201810,-1.05
201811,-0.44
201812,-0.95
201901,2.85
201902,2.46
201903,0.67
201904,-2.08
201905,3.23
201906,1.05
201907,0.25
201908,-0.31
201909,-0.83
201910,-1.41
201911,0.71
201912,2.68
202001,-2.64
202002,-2.87
202003,1.48
202004,3.46
202005,0.35
202006,0.41
202007,-0.26
202008,-0.52
202009,-1.08
202010,-1.8
202011,-2.22
202012,-1.71
202101,-1.84
202102,-3.04
202103,-2.4
202104,-3.84
202105,-4.89
202106,-4.99
202107,-3.71
202108,-1.89
202109,-1.23
202110,1.67
202111,-2.65
202112,7.19
202201,-2.85
202202,-2.84
202203,-1.6
202204,-2.15
202205,-2.06
202206,-2.21
202207,-2.12
202208,-1.45
202209,-0.05
202210,-1.51
202211,-0.36
202212,1.56
202301,8.11
202302,1.5
202303,5.25
202304,-1.96
202305,1.24
202306,0.59
202307,0.72
202308,0.67
202309,-0.45
202310,-1.54
202311,-1.78
202312,1.28
202401,-1.24
202402,6.29
202403,1.52
202404,0.39
202405,0.29
202406,0.86
202407,-0.33
202408,-0.93
202409,-1
202410,-1.71
202411,-1.75
202412,-3.22
