#  Yolo County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-4.85
201402,0.45
201403,-1.59
201404,-0.11
201405,-3.13
201406,-3.19
201407,-1.97
201408,-0.55
201409,0.52
201410,-1.55
201411,-1.06
201412,5.17
201501,-3.92
201502,-0.72
201503,-3.81
201504,-0.69
201505,-1.72
201506,-1.88
201507,-1.62
201508,-0.53
201509,-0.74
201510,-2.16
201511,-0.59
201512,-1.59
201601,1.42
201602,-2.78
201603,4.33
201604,-1.03
201605,-0.03
201606,-1.13
201607,-1.3
201608,-0.47
201609,-0.91
201610,3.72
201611,-0.77
201612,-0.1
201701,8.45
201702,5.16
201703,-0.29
201704,2.38
201705,0.25
201706,0.92
201707,-0.4
201708,-0.52
201709,-0.92
201710,-1.72
201711,-0.27
201712,-3.78
201801,-0.45
201802,-3.24
201803,2.35
201804,1.14
201805,0.15
201806,0.28
201807,-0.35
201808,-0.51
201809,-0.82
201810,-1.74
201811,0.74
201812,-1.38
201901,1.95
201902,6.75
201903,2.56
201904,-1.5
201905,5.04
201906,2.43
201907,-0.2
201908,-0.19
201909,0.08
201910,-1.93
201911,-2.46
201912,2.55
202001,-2.56
202002,-3.41
202003,-1.82
202004,-1.17
202005,-1.15
202006,-2.05
202007,-1.43
202008,-0.36
202009,-1.04
202010,-2.57
202011,-2.19
202012,-2.49
202101,-1.62
202102,-2.9
202103,-1.99
202104,-3.22
202105,-5.37
202106,-4.5
202107,-2.45
202108,-0.72
202109,-0.83
202110,8.12
202111,-0.74
202112,3.52
202201,-3.65
202202,-3.22
202203,-2.58
202204,-1.22
202205,-2.38
202206,-2.03
202207,-1.54
202208,-0.56
202209,2.52
202210,-2.23
202211,-1.12
202212,2.95
202301,5.41
202302,-0.43
202303,6.37
202304,-1.5
202305,0.66
202306,-0.09
202307,0.31
202308,-0.22
202309,-0.5
202310,-0.86
202311,-1.96
202312,-0.31
202401,-0.57
202402,2.83
202403,-0.3
202404,-0.45
202405,0.58
202406,-0.64
202407,-1.69
202408,-0.63
202409,-1.01
202410,-2.14
202411,2.92
202412,0.79
