#  Yuba County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-3.58
201402,2.34
201403,0.39
201404,-1.31
201405,-1.45
201406,-2.3
201407,-2.15
201408,-0.3
201409,0.13
201410,-0.83
201411,-0.51
201412,3.61
201501,-4.34
201502,-1.22
201503,-4.05
201504,-0.7
201505,-1.71
201506,-2.26
201507,-2.26
201508,-0.69
201509,-0.99
201510,-2.16
201511,-0.32
201512,0.73
201601,2.48
201602,-2.64
201603,4.6
201604,-1.53
201605,-0.77
201606,-1.63
201607,-1.72
201608,-0.71
201609,-1.21
201610,5.75
201611,-2.41
201612,0.14
201701,5.96
201702,5.08
201703,-0.69
201704,2.72
201705,-1.38
201706,-0.62
201707,-1.4
201708,-1.02
201709,-0.88
201710,-1.72
201711,1.97
201712,-3.93
201801,-0.37
201802,-2.71
201803,3.6
201804,1.34
201805,-1.22
201806,-1.14
201807,-1.7
201808,-0.9
201809,-1.26
201810,-1.71
201811,0.48
201812,-1.35
201901,1.16
201902,5.89
201903,1.19
201904,-0.86
201905,4.51
201906,1.74
201907,0.94
201908,-0.15
201909,1.66
201910,-2.11
201911,-1.8
201912,1.61
202001,-2.2
202002,-3.38
202003,-0.82
202004,-0.63
202005,1.48
202006,0.8
202007,-0.57
202008,-0.51
202009,-1.47
202010,-2.82
202011,-1.11
202012,-1.44
202101,-1.51
202102,-1.83
202103,-1.45
202104,-2.53
202105,-2.63
202106,-3.71
202107,-3.03
202108,-0.99
202109,-0.44
202110,7.1
202111,-3.99
202112,1.81
202201,-3.87
202202,-3.3
202203,-3.13
202204,0.24
202205,-1.31
202206,0.12
202207,-0.71
202208,-0.66
202209,1.44
202210,-2.61
202211,-0.81
202212,3.75
202301,3.03
202302,-0.94
202303,3.66
202304,-1.58
202305,0.47
202306,-0.24
202307,-0.32
202308,-0.07
202309,0.24
202310,-1.21
202311,-1.95
202312,-0.27
202401,0.53
202402,1.31
202403,-0.4
202404,-1.34
202405,0.33
202406,-1.01
202407,-2.57
202408,0.18
202409,-1.38
202410,-2.17
202411,3.66
202412,-0.21
